message_id,channel_name,image_path,detected_objects,image_category,object_count
26285,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26285.jpg,bottle:0.34,product_display,1
26286,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26286.jpg,"bottle:0.32, dining table:0.27",product_display,2
26287,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26287.jpg,"bottle:0.79, dining table:0.51",product_display,2
26288,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26288.jpg,"bottle:0.68, bottle:0.40, dining table:0.30",product_display,3
26289,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26289.jpg,"bottle:0.73, dining table:0.40",product_display,2
26290,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26290.jpg,"bottle:0.80, bottle:0.45, bottle:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.27, dining table:0.27, bottle:0.26",product_display,9
26291,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26291.jpg,"bottle:0.82, dining table:0.39, dining table:0.25",product_display,3
26292,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26292.jpg,none,other,0
26293,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26293.jpg,none,other,0
26294,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26294.jpg,"bottle:0.64, bottle:0.63, bottle:0.40, bottle:0.36, bottle:0.35, bottle:0.34, bottle:0.34, bottle:0.31, bottle:0.27, bottle:0.27, bottle:0.26",product_display,11
26295,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26295.jpg,"bottle:0.67, vase:0.61",product_display,2
26296,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26296.jpg,none,other,0
26297,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26297.jpg,none,other,0
26298,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26298.jpg,none,other,0
26299,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26299.jpg,none,other,0
26300,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26300.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26301,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26301.jpg,person:0.31,lifestyle,1
26302,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26302.jpg,none,other,0
26303,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26303.jpg,none,other,0
26304,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26304.jpg,none,other,0
26305,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26305.jpg,none,other,0
26306,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26306.jpg,"bottle:0.38, cell phone:0.34, bottle:0.30",product_display,3
26307,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26307.jpg,none,other,0
26308,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26308.jpg,none,other,0
26309,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26309.jpg,bottle:0.29,product_display,1
26310,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26310.jpg,"refrigerator:0.44, book:0.25",other,2
26311,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26311.jpg,book:0.35,other,1
26312,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26312.jpg,"bottle:0.79, bottle:0.56, bottle:0.38, bottle:0.37, bottle:0.36, bottle:0.34, bottle:0.30, bottle:0.30",product_display,8
26313,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26313.jpg,none,other,0
26314,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26314.jpg,none,other,0
26315,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26315.jpg,none,other,0
26316,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26316.jpg,bottle:0.68,product_display,1
26317,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26317.jpg,none,other,0
26318,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26318.jpg,none,other,0
26319,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26319.jpg,none,other,0
26320,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26320.jpg,bottle:0.27,product_display,1
26321,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26321.jpg,"bottle:0.72, dining table:0.49, cup:0.35, book:0.27",product_display,4
26322,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26322.jpg,cup:0.35,product_display,1
26323,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26323.jpg,none,other,0
26324,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26324.jpg,"cup:0.72, cup:0.39, book:0.29",product_display,3
26325,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26325.jpg,bottle:0.81,product_display,1
26326,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26326.jpg,"bottle:0.48, bottle:0.47, bottle:0.43, bottle:0.27",product_display,4
26327,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26327.jpg,"bottle:0.57, bottle:0.38, bottle:0.27, bottle:0.26, bottle:0.26",product_display,5
26328,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26328.jpg,none,other,0
26329,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26329.jpg,book:0.25,other,1
26330,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26330.jpg,none,other,0
26331,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26331.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26332,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26332.jpg,none,other,0
26333,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26333.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26334,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26334.jpg,"bottle:0.56, bottle:0.51, bottle:0.41, bottle:0.26",product_display,4
26335,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26335.jpg,none,other,0
26336,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26336.jpg,none,other,0
26337,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26337.jpg,none,other,0
26338,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26338.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26339,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26339.jpg,person:0.31,lifestyle,1
26340,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26340.jpg,bottle:0.59,product_display,1
26341,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26341.jpg,bottle:0.61,product_display,1
26343,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26343.jpg,"bottle:0.93, person:0.79, person:0.67, orange:0.46, orange:0.37, person:0.35, orange:0.35",promotional,7
26344,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26344.jpg,none,other,0
26345,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26345.jpg,"person:0.89, person:0.76, person:0.52",lifestyle,3
26346,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26346.jpg,person:0.80,lifestyle,1
26347,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26347.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26348,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26348.jpg,bottle:0.74,product_display,1
26349,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26349.jpg,bottle:0.86,product_display,1
26350,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26350.jpg,"orange:0.85, orange:0.75, bowl:0.46, dining table:0.43",other,4
